	Redox potential (b3lyp, V)
chromo1	2.2579203472054146
chromo2	2.821984026773208
chromo3	1.941005118578751
chromo4	1.3730208206957313
chromo5	2.410414748481158
chromo6	1.6831538310391658
chromo7	1.2586909720443944
chromo8	2.078968282419221
chromo9	3.2877861261754706
chromo10	3.0892237860933154
chromo11	2.023436987622228
chromo12	2.147806272777873
chromo13	2.057654064817851
chromo14	1.6666104614123245
chromo15	1.945759041433817
chromo16	2.27562861254915
chromo17	1.494884804537885
chromo18	1.508687227031198
chromo19	2.29226776429449
chromo20	1.7957089892149
